customer_id,customer_name,customer_type,channel,province,region,address,phone,tax_code,join_date,credit_limit,status
CUS00001,Cửa hàng tiện lợi Hồ Đức Cường,Cửa hàng tiện lợi,Modern Trade,Bình Dương,Miền Nam,"Số 127 đường Điện Biên Phủ, Bình Dương",02868978194,,2023-11-17,100000000,Active
CUS00002,Canteen Dương Quốc Dũng,Canteen,Traditional Trade,Quảng Ngãi,Miền Trung,"Số 405 đường Điện Biên Phủ, Quảng Ngãi",02618846539,2416011033,2022-05-03,200000000,Active
CUS00003,Nhà hàng Trần Công Linh,Nhà hàng,Traditional Trade,Đồng Nai,Miền Nam,"Số 470 đường Trần Phú, Đồng Nai",02598054173,2683446724,2018-12-14,200000000,Active
CUS00004,Tạp hóa Hồ Hồng Hà,Tạp hóa,Traditional Trade,Tiền Giang,Miền Nam,"Số 331 đường Điện Biên Phủ, Tiền Giang",02778248169,,2022-01-22,50000000,Active
CUS00005,Nhà hàng Dương Hữu Nam,Nhà hàng,Traditional Trade,Bắc Ninh,Miền Bắc,"Số 116 đường Nguyễn Huệ, Bắc Ninh",02320356922,4384950377,2023-09-11,50000000,Active
CUS00006,Cửa hàng tiện lợi Vũ Đức Long,Cửa hàng tiện lợi,Modern Trade,Đồng Nai,Miền Nam,"Số 93 đường Lý Thường Kiệt, Đồng Nai",02368743530,,2018-06-28,500000000,Active
CUS00007,Canteen Đỗ Minh Sơn,Canteen,Traditional Trade,Long An,Miền Nam,"Số 120 đường Nguyễn Trãi, Long An",02451536077,8663811838,2020-03-05,200000000,Active
CUS00008,Canteen Dương Minh Kiên,Canteen,Traditional Trade,Bình Phước,Miền Nam,"Số 258 đường Nguyễn Trãi, Bình Phước",02731751079,4508521152,2019-07-21,200000000,Inactive
CUS00009,Nhà hàng Bùi Thị Khoa,Nhà hàng,Traditional Trade,Nghệ An,Miền Trung,"Số 146 đường Lê Lợi, Nghệ An",02346613428,3204833223,2022-11-27,50000000,Active
CUS00010,Nhà hàng Nguyễn Xuân Dũng,Nhà hàng,Traditional Trade,Thái Bình,Miền Bắc,"Số 203 đường Nguyễn Trãi, Thái Bình",02641645597,5645459980,2020-07-08,50000000,Active
CUS00011,Tạp hóa Lê Văn Tiến,Tạp hóa,Traditional Trade,Hải Dương,Miền Bắc,"Số 470 đường Lý Thường Kiệt, Hải Dương",02828628439,,2023-04-06,500000000,Active
CUS00012,Nhà hàng Phạm Đức Phương,Nhà hàng,Traditional Trade,Hà Nội,Miền Bắc,"Số 57 đường Lý Thường Kiệt, Hà Nội",02541895531,2293434554,2018-07-15,100000000,Active
CUS00013,Siêu thị Trần Hữu Bình,Siêu thị,Modern Trade,Bình Phước,Miền Nam,"Số 324 đường Nguyễn Trãi, Bình Phước",02429270557,6545970956,2018-01-07,200000000,Active
CUS00014,Online Seller Hồ Thị Hải,Online Seller,E-commerce,Huế,Miền Trung,"Số 35 đường Nguyễn Trãi, Huế",02978092370,,2023-09-11,50000000,Active
